Variável,Importância média (F1),Desvio padrão
sulphates,0.17915542635795942,0.05770526125698318
alcohol,0.14189448215858608,0.04356345726497186
citric acid,0.0820748482921155,0.022398829079038517
volatile acidity,0.07257570230123013,0.03721425585949982
density,0.06531936737139142,0.03242363630779388
pH,0.04646206445081315,0.018221746860580857
residual sugar,0.045416158660405256,0.033575702543672245
acidity_ratio,0.02719419835285343,0.03815075711928755
total sulfur dioxide,0.022126803367227173,0.026045020121951167
free_sulfur_ratio,0.015444608454077932,0.03521561062905234
fixed acidity,0.012925428183135116,0.018707532083626265
bound_sulfur_dioxide,0.006721106004300855,0.028620766225728247
chlorides,0.005180683135029015,0.027434922667153566
free sulfur dioxide,-0.019541285685596134,0.026957980364299153
